Question,A,B,C,D,Right Answer,Image
What is the largest desert in Asia?,Gobi,Arabian,Thar,Kyzylkum,A,
What is the capital of Russia?,St. Petersburg,Moscow,Novosibirsk,Vladivostok,B,
Which country is famous for its pyramids?,Greece,Peru,Mexico,Egypt,D,
Which ocean is the warmest?,Atlantic,Indian,Arctic,Pacific,B,
What is the largest island in the world?,New Guinea,Greenland,Madagascar,Borneo,B,
Which country has the most natural lakes?,Russia,Canada,USA,Finland,B,
What is the capital of Argentina?,Santiago,Buenos Aires,Lima,Rio de Janeiro,B,
Which European country is divided into cantons?,Austria,Switzerland,Belgium,Netherlands,B,
What is the capital of South Korea?,Beijing,Seoul,Tokyo,Bangkok,B,
"Which U.S. state is known as the ""Sunshine State""?",California,Florida,Hawaii,Texas,B,
What is the currency used in Japan?,Won,Yen,Renminbi,Dollar,B,
Which mountain range separates Europe from Asia?,Alps,Andes,Ural,Rockies,C,
What river flows through Paris?,Thames,Seine,Rhine,Danube,B,
What is the official language of Brazil?,Spanish,Portuguese,French,English,B,
Which African country has the largest population?,Nigeria,Ethiopia,Egypt,South Africa,A,
"Which country is known as the ""Land of Fire and Ice""?",Iceland,Greenland,Norway,Finland,A,
Which desert is located in northern Chile?,Mojave,Namib,Atacama,Kalahari,C,
What is the capital of Thailand?,Jakarta,Bangkok,Hanoi,Manila,B,
What is the largest lake in Africa?,Lake Tanganyika,Lake Victoria,Lake Malawi,Lake Chad,B,
Which country has the most UNESCO World Heritage sites?,Italy,China,Spain,France,A,
What is the capital of Norway?,Oslo,Bergen,Copenhagen,Stockholm,A,
Which country is known for its maple syrup?,USA,Canada,Switzerland,Norway,B,
What river runs through London?,Seine,Rhine,Thames,Danube,C,
What is the capital of Germany?,Berlin,Munich,Hamburg,Frankfurt,A,
Which ocean surrounds the Maldives?,Atlantic,Pacific,Indian,Arctic,C,
What is the capital of Turkey?,Ankara,Istanbul,Izmir,Bursa,A,
Which country is the smallest in Europe by land area?,Monaco,Liechtenstein,San Marino,Vatican City,D,
What is the capital of Spain?,Madrid,Barcelona,Valencia,Seville,A,
Which country is known for producing the most coffee?,Colombia,Brazil,Ethiopia,Vietnam,B,
Which continent has the most countries?,Asia,Africa,Europe,South America,B,
What is the capital of Egypt?,Cairo,Alexandria,Giza,Luxor,A,
Which sea separates Europe from Africa?,Black Sea,Red Sea,Mediterranean Sea,Arabian Sea,C,
What is the currency of Mexico?,Peso,Real,Dollar,Lira,A,
What is the largest island in the Mediterranean Sea?,Corsica,Sardinia,Crete,Sicily,D,
What is the capital of Kenya?,Nairobi,Mombasa,Kisumu,Eldoret,A,
What country shares the longest border with the United States?,Mexico,Canada,Russia,Cuba,B,
Which river is the longest in Europe?,Danube,Volga,Seine,Thames,B,
What is the capital of Greece?,Athens,Thessaloniki,Patras,Heraklion,A,
Which country is the largest in the world by land area?,China,USA,Canada,Russia,D,
What country is home to the Great Barrier Reef?,Indonesia,Australia,Philippines,Malaysia,B,
What is the currency of the United Kingdom?,Euro,Pound Sterling,Dollar,Franc,B,
What is the largest country in Africa by land area?,Nigeria,Sudan,Algeria,Egypt,C,
What is the capital of Portugal?,Lisbon,Porto,Faro,Braga,A,
Which U.S. state is the largest by land area?,Texas,California,Alaska,Montana,C,
Which country is home to the ancient city of Petra?,Egypt,Jordan,Syria,Lebanon,B,
What is the capital of China?,Beijing,Shanghai,Guangzhou,Shenzhen,A,
What is the highest waterfall in the world?,Niagara Falls,Angel Falls,Victoria Falls,Iguazu Falls,B,
What is the capital of South Africa?,Johannesburg,Cape Town,Pretoria,Durban,C,
"Which country is known as the ""Emerald Isle""?",Iceland,Ireland,New Zealand,Australia,B,
"Which river is known as the ""Mother of Rivers""?",Mississippi,Amazon,Nile,Ganges,C,
What is the capital of the Philippines?,Manila,Cebu,Davao,Quezon City,A,
What is the currency of India?,Rupee,Yen,Yuan,Dollar,A,
What is the largest country in South America by population?,Argentina,Brazil,Colombia,Peru,B,
Which country has the most islands?,Norway,Indonesia,Greece,Sweden,D,
What is the capital of Saudi Arabia?,Jeddah,Riyadh,Mecca,Medina,B,
What is the capital of Venezuela?,Caracas,Maracaibo,Valencia,Barquisimeto,A,
Which mountain range is located in North America?,Andes,Rockies,Himalayas,Alps,B,
What is the capital of Sweden?,Oslo,Helsinki,Copenhagen,Stockholm,D,
What is the smallest U.S. state by land area?,Rhode Island,Delaware,Connecticut,Hawaii,A,
What is the capital of Morocco?,Rabat,Casablanca,Marrakech,Fez,A,
Which sea is known as the world's saltiest?,Red Sea,Dead Sea,Mediterranean Sea,Black Sea,B,
What is the currency of Switzerland?,Euro,Dollar,Franc,Krona,C,
Which African country was never colonized?,Nigeria,Ethiopia,Ghana,Liberia,B,
What is the capital of Finland?,Oslo,Helsinki,Stockholm,Tallinn,B,
Which country is known for the Taj Mahal?,Bangladesh,Nepal,India,Pakistan,C,
What is the largest desert in Australia?,Great Victoria Desert,Simpson Desert,Great Sandy Desert,Tanami Desert,A,
What is the capital of Cuba?,Havana,Santiago,Guantanamo,Santa Clara,A,
What river is the longest in North America?,Amazon,Missouri,Mississippi,Colorado,B,
What is the capital of Hungary?,Bucharest,Budapest,Prague,Bratislava,B,
Which country is known for the Alps?,Austria,Switzerland,Germany,Italy,B,
